record_id,Dataset,Source,Service,Respondent_Group,Scenario,Sentiment,Sentiment Score,Location,Latitude,Longitude,X,Y,Coordinate_Method,Trip_Time_Minutes,Time_of_Day,Trip_Purpose,Alternative_Mode,Choice_Factors,Barrier_to_Riding,Encouragement,Late_Night_Travel_Change,Views_Changed,Max_WTP,Zero_Emission_Importance,Accessibility_Importance,Distribution_Importance,Transit_Connectivity_Importance,Zero_Emission_Score,Accessibility_Score,Distribution_Score,Transit_Connectivity_Score,Shared_Ride_View,Attraction_to_Project,Text_Summary,Privacy_Notes,Birth Year,Age in 2022,Age Band (2022),Sex,Ethnicity,Degree Program,Years at USF,Home ZIP Code,Lives on Campus,Household / Roommates,Primary Daily Travel Mode
RR-0088,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,38.6096,-121.4443,-121.4443,38.6096,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,Asian,Masters,Less than 1,94117,No,3,Walk
RR-0089,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6844,-122.438,-122.438,37.6844,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Other:,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,Other,No,3,Drive Alone
RR-0090,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,51.9439,5.8939,5.8939,51.9439,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0091,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7825,-122.435,-122.435,37.7825,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,White,BS/BA,2,94118,Yes,3,Walk
RR-0092,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,White,BS/BA,2,94118,Yes,3,Walk
RR-0093,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.3388,-121.8916,-121.8916,37.3388,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Black or African American,BS/BA,3,94118,No,0,Walk
RR-0094,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.3388,-121.8916,-121.8916,37.3388,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Black or African American,BS/BA,3,94118,No,0,Walk
RR-0095,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7703,-122.4407,-122.4407,37.7703,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0096,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7428,-122.1745,-122.1745,37.7428,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Asian,BS/BA,4,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0097,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6868,-122.1496,-122.1496,37.6868,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Expanded options leisure trips at night,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Asian,BS/BA,4,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0098,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7771,-122.406,-122.406,37.7771,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1996,26,25–34,Male,Prefer not to say,Masters,1,94103,No,0,Bicycle
RR-0099,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7595,-122.4367,-122.4367,37.7595,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,More incentives,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=More incentives; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1996,26,25–34,Male,Prefer not to say,Masters,1,94103,No,0,Bicycle
RR-0100,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7201,-122.4414,-122.4414,37.7201,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1999,23,18–24,Male,Asian,BS/BA,Less than 1,94124,No,2,Drive Alone
RR-0101,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0102,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0103,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.2507,-121.836,-121.836,37.2507,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Access to more locations in the city,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0104,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.2507,-121.836,-121.836,37.2507,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0105,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.2507,-121.836,-121.836,37.2507,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0106,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.2507,-121.836,-121.836,37.2507,SurveyLatitude and Survey Longitude fields,,,,,,Decided to take another means of transportation,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Decided to take another means of transportation; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Male,Asian,BS/BA,3,94118,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0107,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,35.6897,139.6895,139.6895,35.6897,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,Asian,NA / Other,2,94118,No,1,"Public Transit (Bus, Train, etc.)"
RR-0108,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6196,-122.4816,-122.4816,37.6196,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0109,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6196,-122.4816,-122.4816,37.6196,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0110,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6196,-122.4816,-122.4816,37.6196,SurveyLatitude and Survey Longitude fields,,,,,,Did not seem like it could be regular transportation option,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Did not seem like it could be regular transportation option; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0111,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.6196,-122.4816,-122.4816,37.6196,SurveyLatitude and Survey Longitude fields,,,,,,Decided to take another means of transportation,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Decided to take another means of transportation; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0112,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0113,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,26.2681,-80.2092,-80.2092,26.2681,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0114,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7691,-78.0091,-78.0091,37.7691,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,"No particular reason, just exploring",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,Other,Masters,2,94123,No,2,"Public Transit (Bus, Train, etc.)"
RR-0115,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7771,-122.406,-122.406,37.7771,SurveyLatitude and Survey Longitude fields,,,,,,Cars wouldn't go to all the places I wanted to go,Access to more locations in the city,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Cars wouldn't go to all the places I wanted to go; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1994,28,25–34,Female,White,Masters,1,94103,No,6 or more,Drive or Ride with Others (Carpool / Vanpool)
RR-0116,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Reliability/Late-Night Mobility,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Nervous about going out late in the city,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Nervous about going out late in the city; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,3,94118,Yes,0,"Public Transit (Bus, Train, etc.)"
RR-0117,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,33.8351,-117.8652,-117.8652,33.8351,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,3,94118,Yes,0,"Public Transit (Bus, Train, etc.)"
RR-0118,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,33.8351,-117.8652,-117.8652,33.8351,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,3,94118,Yes,0,"Public Transit (Bus, Train, etc.)"
RR-0119,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,33.8351,-117.8652,-117.8652,33.8351,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,3,94118,Yes,0,"Public Transit (Bus, Train, etc.)"
RR-0120,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.4446,-122.1835,-122.1835,37.4446,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Other:,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Female,White,BS/BA,2,94123,No,1,"Public Transit (Bus, Train, etc.)"
RR-0121,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Uncertain about availability of cars / getting stuck without a ride,Weekly reminders via email or phone,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Uncertain about availability of cars / getting stuck without a ride; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,Asian,BS/BA,2,94118,No,2,"Public Transit (Bus, Train, etc.)"
RR-0122,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7506,-122.4121,-122.4121,37.7506,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1998,24,18–24,Male,Other,Masters,2,94123,No,2,"Public Transit (Bus, Train, etc.)"
RR-0123,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.2941,-121.8996,-121.8996,37.2941,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Access to more locations in the city,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
RR-0124,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7201,-122.4414,-122.4414,37.7201,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Black or African American,BS/BA,1,94134,No,2,"Public Transit (Bus, Train, etc.)"
RR-0125,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,"No particular reason, just exploring",respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1994,28,25–34,Female,White,Masters,3,94118,,1,"Public Transit (Bus, Train, etc.)"
RR-0126,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7958,-122.4203,-122.4203,37.7958,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,1994,28,25–34,Female,White,Masters,3,94118,,1,"Public Transit (Bus, Train, etc.)"
RR-0127,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,33.7372,-117.8232,-117.8232,33.7372,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Weekly reminders via email or phone,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,2,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0128,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,38.5569,-121.3627,-121.3627,38.5569,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,2,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0129,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.589,-122.0461,-122.0461,37.589,SurveyLatitude and Survey Longitude fields,,,,,,Did not seem like it could be regular transportation option,Other:,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Did not seem like it could be regular transportation option; encouragement=Other:; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,2,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0130,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,38.6226,-121.3885,-121.3885,38.6226,SurveyLatitude and Survey Longitude fields,,,,,,Did not seem like it could be regular transportation option,More incentives,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Did not seem like it could be regular transportation option; encouragement=More incentives; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2001,21,18–24,Female,Asian,BS/BA,2,94117,Yes,1,"Public Transit (Bus, Train, etc.)"
RR-0131,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,Prefer not to say,BS/BA,Less than 1,94118,Yes,1,Walk
RR-0132,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Transit Connection,Neutral,-0.1,Survey response area,37.7771,-122.406,-122.406,37.7771,SurveyLatitude and Survey Longitude fields,,,,,,Busy with school / work or schedule didn't allow,Expanded times,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Busy with school / work or schedule didn't allow; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2002,20,18–24,Male,Prefer not to say,BS/BA,Less than 1,94118,Yes,1,Walk
RR-0133,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Weekly reminders via email or phone,,,,,,,,,,,,,Free rides,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Weekly reminders via email or phone; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,No,4,Other
RR-0134,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.78,-122.465,-122.465,37.78,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Expanded times,,,,,,,,,,,,,Experience brand new technology,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Expanded times; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,2000,22,18–24,Male,White,BS/BA,4,94118,No,4,Other
RR-0135,Research Rider Dataset,Anonymized rider/non-rider survey,Cruise,Non-rider,Barrier to Riding,Neutral,-0.1,Survey response area,37.7797,-122.4159,-122.4159,37.7797,SurveyLatitude and Survey Longitude fields,,,,,,Other:,Access to more locations in the city,,,,,,,,,,,,,Expanded options for commuting,respondent_group=Non-rider; purpose=; alternative=; choice_factors=; barriers=Other:; encouragement=Access to more locations in the city; late_night_change=; views_changed=,Derived public-safe record; raw open-ended responses omitted.,,2022,,,,,,,,,
